번호,종목코드,종목명,fullcode,상업코드
296,A005090,SGC에너지,KR7005090006,017
297,A005110,한창,KR7005110002,016
298,A005160,동국산업,KR7005160007,268
299,A005180,빙그레,KR7005180005,005
300,A005250,녹십자홀딩스,KR7005250006,026
301,A005257,녹십자홀딩스2우,KR7005252002,026
302,A005290,동진쎄미켐,KR7005290002,359
303,A005300,롯데칠성,KR7005300009,005
304,A005305,롯데칠성우,KR7005301007,005
305,A005320,국동,KR7005320007,016
306,A005360,모나미,KR7005360003,016
307,A005380,현대차,KR7005380001,015
308,A005385,현대차우,KR7005381009,015
309,A005387,현대차2우B,KR7005382007,015
310,A005389,현대차3우B,KR7005383005,015
311,A005390,신성통상,KR7005390000,016
312,A005420,코스모화학,KR7005420005,008
313,A005430,한국공항,KR7005430004,019
314,A005440,현대그린푸드,KR7005440003,016
315,A005490,POSCO,KR7005490008,011
316,A005500,삼진제약,KR7005500004,009
317,A005610,SPC삼립,KR7005610001,005
318,A005670,푸드웰,KR7005670005,256
319,A005680,삼영전자,KR7005680004,013
320,A005690,파미셀,KR7005690003,009
321,A005710,대원산업,KR7005710009,275
322,A005720,넥센,KR7005720008,008
323,A005725,넥센우,KR7005721006,008
324,A005740,크라운해태홀딩스,KR7005740006,021
325,A005745,크라운해태홀딩스우,KR7005741004,021
326,A005750,대림B&Co,KR7005750005,010
327,A005800,신영와코루,KR7005800008,006
328,A005810,풍산홀딩스,KR7005810007,021
329,A005820,원림,KR7005820006,006
330,A005830,DB손해보험,KR7005830005,025
331,A005850,에스엘,KR7005850003,015
332,A005860,한일사료,KR7005860002,256
333,A005870,휴니드,KR7005870001,013
334,A005880,대한해운,KR7005880000,019
335,A005900,동양건설산업,KR7005900006,699
336,A005930,삼성전자,KR7005930003,013
337,A005935,삼성전자우,KR7005931001,013
338,A005940,NH투자증권,KR7005940002,024
339,A005945,NH투자증권우,KR7005941000,024
340,A005950,이수화학,KR7005950001,008
341,A005960,동부건설,KR7005960000,018
342,A005965,동부건설우,KR7005961008,018
343,A005990,매일홀딩스,KR7005990007,256
344,A006040,동원산업,KR7006040000,003
345,A006050,국영지앤엠,KR7006050009,267
346,A006060,화승인더,KR7006060008,008
347,A006090,사조오양,KR7006090005,005
348,A006110,삼아알미늄,KR7006110001,011
349,A006120,SK디스커버리,KR7006120000,021
350,A006125,SK디스커버리우,KR7006121008,021
351,A006140,피제이전자,KR7006140008,274
352,A006200,한국전자홀딩스,KR7006200000,021
353,A006220,제주은행,KR7006220008,022
354,A006260,LS,KR7006260004,021
355,A006280,녹십자,KR7006280002,009
356,A006340,대원전선,KR7006340004,013
357,A006345,대원전선우,KR7006341002,013
358,A006360,GS건설,KR7006360002,018
359,A006370,대구백화점,KR7006370001,016
360,A006380,카프로,KR7006380000,008
361,A006390,한일현대시멘트,KR7006390009,010
362,A006400,삼성SDI,KR7006400006,013
363,A006405,삼성SDI우,KR7006401004,013
364,A006490,인스코비,KR7006490007,020
365,A006570,대림통상,KR7006570006,012
366,A006580,대양제지,KR7006580005,262
367,A006620,동구바이오제약,KR7006620009,266
368,A006650,대한유화,KR7006650006,008
369,A006660,삼성공조,KR7006660005,015
370,A006730,서부T&D,KR7006730006,203
371,A006740,영풍제지,KR7006740005,007
372,A006800,미래에셋증권,KR7006800007,024
373,A006805,미래에셋증권우,KR7006801005,024
374,A00680K,미래에셋증권2우B,KR700680K019,024
375,A006840,AK홀딩스,KR7006840003,021
376,A006880,신송홀딩스,KR7006880009,016
377,A006890,태경케미컬,KR7006890008,008
378,A006910,보성파워텍,KR7006910004,268
379,A006920,모헨즈,KR7006920003,267
380,A006980,우성사료,KR7006980007,005
381,A007070,GS리테일,KR7007070006,016
382,A007110,일신석재,KR7007110000,016
383,A007120,미래아이앤지,KR7007120009,026
384,A007160,사조산업,KR7007160005,004
385,A007210,벽산,KR7007210008,010
